LotFrontage,ZoningScore,EVI,LotArea,Price_per_m^2_norm,PDI,MSZoning_RL,LotConfig_CulDSac,LandContour_HLS,LotShape_IR2,Condition1_Norm,Condition1_Feedr,LotShape_Reg,MSZoning_RM,SalePrice
70.0,0.7956049338860387,0.344162024122486,8400,0.168855824755454,0.3597767506921698,True,False,False,False,True,False,True,False,145000
59.0,0.7956049338860387,0.415263062886428,7837,0.2268473759675485,0.4221451901951901,True,False,False,False,True,False,False,False,178000
67.0,0.7956049338860387,0.3143799783100952,8777,0.0882391015517251,0.3760948649148364,True,False,False,False,False,True,True,False,85000
60.0,0.7956049338860387,0.4132095211798217,7200,0.2437929241332835,0.4054624962908296,True,False,False,False,False,True,True,False,175000
50.0,0.7956049338860387,0.4190313949850063,5000,0.2554366717436527,0.4023775912918813,True,False,False,False,True,False,True,False,127000
70.0,0.7956049338860387,0.3337040015614271,9800,0.1479397796333363,0.3617398720551369,True,False,False,False,True,False,True,False,149900
122.0,0.7956049338860387,0.3721517341112896,11911,0.1406247184172719,0.4278578733614244,True,False,False,True,True,False,False,False,174000
40.0,0.3107389240247977,0.2612667259937714,5436,0.2308269396779273,0.2090425594289946,False,False,False,False,True,False,True,True,125500
78.0,0.7956049338860387,0.3295559288780113,12090,0.1396436342665045,0.3649509777131331,True,False,False,False,True,False,False,False,175500
76.0,0.7956049338860387,0.3830302752529845,9158,0.2465923270164511,0.360839640687262,True,False,False,False,True,False,True,False,225000
70.0,0.7956049338860387,0.4024507365564992,8400,0.1485911443603226,0.4624083296395382,True,False,False,False,True,False,True,False,129000
85.0,0.7956049338860387,0.3789918994506302,13400,0.1121997859380583,0.4615247405223155,True,False,False,False,True,False,True,False,159950
82.0,0.7956049338860387,0.3226371978820765,11880,0.1258061722746351,0.364656509508688,True,False,False,False,False,False,False,False,157000
85.0,0.7956049338860387,0.3746262714283981,13600,0.1455737930514887,0.4302262390628897,True,False,False,False,True,False,True,False,205000
80.0,0.7956049338860387,0.3299134207196592,9600,0.1403586179498005,0.3614594261461416,True,False,False,False,True,False,True,False,140000
80.0,0.7956049338860387,0.4263090574556577,8068,0.2489393651060079,0.4224691052200797,True,False,False,False,True,False,False,False,200000
69.83333333333333,0.7956049338860387,0.3073056366538408,21000,0.0951430498181637,0.3774448429588738,True,False,False,False,True,False,True,False,217000
49.0,0.3107389240247977,0.187622857821944,8235,0.1466970980711147,0.1655989788727522,False,False,True,False,False,True,False,True,125000
75.0,0.7956049338860387,0.4011670847171311,7950,0.1986554196289549,0.4223036421337724,True,False,False,False,True,False,False,False,159500
47.0,0.7956049338860387,0.3311701703897826,12416,0.1428721172900472,0.3654081045447955,True,False,False,False,True,False,False,False,184000
55.0,0.7956049338860387,0.327108236574154,10594,0.0821166707114217,0.4023269265243746,True,False,False,False,True,False,True,False,96500
91.0,0.7956049338860387,0.4173983269922326,11643,0.1679600094423157,0.4748504968960023,True,False,False,False,False,False,True,False,200000
52.0,0.3107389240247977,0.2654764367668674,6240,0.2392463612241194,0.2101699519831557,False,False,False,False,True,False,True,True,149000
65.0,0.7956049338860387,0.387405220744373,10237,0.1711316916834385,0.4255105411031337,True,False,False,False,False,False,True,False,178900
67.0,0.7956049338860387,0.349885206090298,10083,0.180302188691078,0.3621367030163652,True,False,False,False,True,False,True,False,184900
35.0,1.0,0.6671215799888647,4251,0.3974010547145715,0.6567695583345942,False,False,False,False,True,False,False,False,164700
100.0,0.7956049338860387,0.3541677100675821,17500,0.1888671966456462,0.372537039551456,True,False,False,False,False,False,True,False,335000
78.03424657534246,0.7956049338860387,0.3804992398370231,8544,0.0941618351318966,0.4705049875361201,True,False,False,False,True,False,True,False,87500
79.0,0.7956049338860387,0.3823390353887081,9541,0.2452098472878984,0.361376694602988,True,False,False,False,True,False,False,False,233170
74.69444444444444,0.7956049338860387,0.3453227249614802,8544,0.1711772264334426,0.3599786717466464,True,True,False,False,True,False,False,False,149350
60.0,0.7956049338860387,0.3316487757485292,12144,0.1017240648496458,0.3966056454769829,True,False,False,False,True,False,True,False,133000
67.0,0.7956049338860387,0.3558884364155524,5604,0.1712560177626396,0.371645590568626,True,False,False,False,True,False,True,False,98000
79.0,0.7956049338860387,0.3601298600539523,10240,0.2007914966183868,0.3623568530549266,True,False,False,False,True,False,True,False,207500
74.69444444444444,0.7956049338860387,0.3322017477889129,9991,0.1449352720883079,0.3620076978982274,True,False,False,False,False,True,False,False,150000
74.69444444444444,0.7956049338860387,0.4197104347839645,7252,0.1831105408152532,0.4607985701219051,True,True,False,False,True,False,False,False,134900
60.0,1.0,0.4523690036730134,7200,0.2626327441881322,0.4398521016837824,False,False,False,False,True,False,True,False,187750
128.0,0.7956049338860387,0.3177375308235302,12160,0.1160068381575425,0.3650491337812815,True,False,False,False,False,True,True,False,149500
71.0,0.7956049338860387,0.3183406304557171,9353,0.1172130374219162,0.3611130754485324,True,False,False,False,True,False,True,False,116050
64.0,0.7956049338860387,0.4422477338481629,7018,0.2176588231541763,0.468365185250486,True,False,False,False,False,True,True,False,153337
74.69444444444444,0.7956049338860387,0.3184107089692893,13284,0.1173531944490607,0.3666252397898351,True,False,False,False,False,False,True,False,165000
60.0,0.7956049338860387,0.3575182907465498,6600,0.1955683580035817,0.357252737511212,True,False,False,False,True,False,True,False,130500
78.0,0.3107389240247977,0.3360023870278722,7060,0.2960877354303395,0.2744776749468786,False,False,False,False,True,False,True,True,206300
34.0,1.0,0.6765196031518329,3604,0.416197101040508,0.6558623158189943,False,False,False,False,True,False,True,False,146000
80.0,0.7956049338860387,0.3280140342411597,8892,0.1365598449928016,0.3604666476282983,True,False,False,False,True,False,False,False,126500
53.0,0.7956049338860387,0.4218143493638129,5362,0.2610025805012659,0.4028851983871627,True,False,False,False,True,False,True,False,139000
33.0,0.3107389240247977,0.4207222678150559,4456,0.2550011812152331,0.428721006053865,False,False,False,False,True,False,True,True,113000
60.0,0.7956049338860387,0.3276915144602635,9600,0.072756910694167,0.4088278471987732,True,False,False,False,False,False,True,False,79000
95.0,1.0,0.3968373352290974,11639,0.1515694073003,0.4460765986339332,False,False,False,False,True,False,True,False,182000
80.0,0.7956049338860387,0.4194507014274082,8000,0.2352226530495091,0.4223737536110212,True,False,False,False,True,False,True,False,188000
60.0,0.7956049338860387,0.3476450160653991,7200,0.1758218086412803,0.358094075238198,True,False,False,False,True,False,True,False,129000
59.10526315789474,0.3266552583926281,0.4107804133639041,7082,0.2255676716922312,0.4387697945861054,False,False,False,False,True,False,True,False,160000
80.0,0.7956049338860387,0.3625268907305737,8400,0.2055855579716296,0.3597767506921698,True,False,False,False,True,False,True,False,174000
58.0,0.7956049338860387,0.3774145569667024,14054,0.1511503641280976,0.4308628512763091,True,False,False,False,True,False,False,False,219210
85.0,1.0,0.5056331788050048,11003,0.2849505681363254,0.5083426753801702,False,False,False,False,True,False,True,False,310000
72.0,0.7956049338860387,0.4202834109699434,11846,0.3210985984503689,0.3646088337041588,True,False,True,False,True,False,False,False,374000
60.0,0.3107389240247977,0.1798393987925144,8520,0.110077548433308,0.181788087977281,False,False,False,False,True,False,True,True,100000
81.21951219512195,0.7956049338860387,0.4150223042200393,11029,0.226365858634771,0.4266211069027551,True,False,False,False,False,False,False,False,250000
74.69444444444444,0.7956049338860387,0.3907761243255929,10246,0.1357682356879837,0.4571021085374596,True,True,False,False,True,False,False,False,145000
