SalePrice,LotFrontage,ZoningScore,EVI,Price_per_m^2,LotArea,PDI,MSZoning_RL,LotConfig_CulDSac,LotShape_IR2,LandContour_HLS,Condition1_Norm,Condition1_Feedr,LotShape_Reg,MSZoning_RM
208500,65.0,0.8350439463269663,0.4375304318037032,265.5948270025484,8450,0.4387803618826318,True,False,False,False,True,False,True,False
181500,80.0,0.8350439463269663,0.364740787165944,203.5052689364176,9600,0.3772350311225126,True,False,False,False,False,True,True,False
223500,68.0,0.8350439463269663,0.4119549662328301,213.84311235015733,11250,0.442706604608566,True,False,False,False,True,False,False,False
140000,60.0,0.8350439463269663,0.3947828590518589,157.79561331576318,9550,0.4561122880663165,True,False,False,False,True,False,False,False
250000,84.0,0.8350439463269663,0.3995333992716938,188.7081881343341,14260,0.4469273155389453,True,False,False,False,True,False,False,False
143000,85.0,0.8350439463269663,0.3496403322877583,109.049936402344,14115,0.4309345185707132,True,False,False,False,True,False,False,False
307000,75.0,0.8350439463269663,0.426117027831248,327.6995161357598,10084,0.3779137102222812,True,False,False,False,True,False,True,False
200000,81.28888888888889,0.8350439463269663,0.4087496840504705,207.35725392376065,10382,0.4414894693635264,True,False,False,False,False,False,False,False
129900,51.0,0.3712831948941708,0.2695286577044576,228.4693733902934,6120,0.2342193927855077,False,False,False,False,False,False,True,True
118000,50.0,0.8350439463269663,0.5277122450735443,171.17816388672847,7420,0.6425992233460428,True,False,False,False,False,False,True,False
129500,70.0,0.8350439463269663,0.3256758661698608,124.45776777929667,11200,0.379478598394475,True,False,False,False,True,False,True,False
345000,85.0,0.8350439463269663,0.4601844297169436,311.4349792567874,11924,0.4436517073218802,True,False,False,False,True,False,False,False
144000,74.4375,0.8350439463269663,0.3232382503769383,119.52527509024274,12968,0.3819577402299935,True,False,True,False,True,False,False,False
279500,91.0,0.8350439463269663,0.4037482785676387,282.4365618480553,10652,0.3787101766038279,True,False,False,False,True,False,False,False
157000,76.46236559139786,0.8350439463269663,0.3406490780363355,154.7559215234102,10920,0.3790859741218816,True,False,False,False,True,False,False,False
132000,51.0,0.3712831948941708,0.2660908110953116,232.1628736529541,6120,0.2263246559434024,False,False,False,False,True,False,True,True
149000,76.46236559139786,0.8350439463269663,0.3346793416121703,142.67621587280314,11241,0.3795360898058191,True,True,False,False,True,False,False,False
90000,72.0,0.8350439463269663,0.3822195653383224,89.77410384639214,10791,0.4894314023000534,True,False,False,False,True,False,True,False
159000,66.0,0.8350439463269663,0.3259289492496517,124.9698790170138,13695,0.3829771611091915,True,False,False,False,False,False,True,False
139000,70.0,0.8350439463269663,0.3619746231102718,197.90796191988835,7560,0.3743744828507606,True,False,False,False,True,False,True,False
325300,101.0,0.8350439463269663,0.4280070807503249,246.3244154871361,14215,0.4468642152094214,True,False,False,False,True,False,False,False
139400,57.0,0.3712831948941708,0.2509052629740044,201.4350594891702,7449,0.2281882190086762,False,False,False,False,True,False,True,True
230000,75.0,0.8350439463269663,0.3897575778215164,254.126510138776,9742,0.3774341477178993,True,False,False,False,True,False,True,False
129900,44.0,0.3712831948941708,0.3938934064987986,331.020967127982,4224,0.3420870813577059,False,False,False,False,True,False,True,True
154000,74.4375,0.8350439463269663,0.363514496072291,201.02388041257484,8246,0.3753364123186145,True,False,False,False,True,False,False,False
256300,110.0,0.8350439463269663,0.3599798211062399,193.87149877849987,14230,0.3837273539157539,True,False,False,False,True,False,True,False
134800,60.0,0.8350439463269663,0.3637618553395647,201.52440956935968,7200,0.373869680214569,True,False,False,False,True,False,True,False
306000,98.0,0.8350439463269663,0.4059850815837038,286.96271176701686,11478,0.3798684182079785,True,False,False,False,True,False,True,False
207500,47.0,0.8350439463269663,0.3317995529095591,136.84899044913615,16321,0.3866594158942998,True,True,False,False,True,False,False,False
68500,60.0,0.3712831948941708,0.1931867584748705,116.59205898260524,6324,0.2029265002442619,False,False,False,False,False,True,False,True
