MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,SalePrice,LotArea_m^2,Price_per_m^2,ZoningScore,SubClassScore,LotAreaNorm,PDI,Price_per_m^2_norm,EVI
20,RL,70.0,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,145000,780.3851999999999,185.8056764787441,0.7956049338860387,0.10526315789473684,0.0331860992311108,0.3597767506921698,0.16885582475545402,0.344162024122486
60,RL,59.0,7837,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,178000,728.080811,244.47835640046827,0.7956049338860387,0.3157894736842105,0.030554581785038212,0.4221451901951901,0.22684737596754853,0.415263062886428
30,RL,67.0,8777,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,85000,815.409631,104.24208492087335,0.7956049338860387,0.15789473684210525,0.03494823435929795,0.37609486491483646,0.08823910155172512,0.3143799783100952
50,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Feedr,Norm,175000,668.9016,261.6229352717948,0.7956049338860387,0.2631578947368421,0.027577181051204748,0.4054624962908296,0.2437929241332835,0.41320952117982174
50,RL,50.0,5000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,127000,464.515,273.40344230003336,0.7956049338860387,0.2631578947368421,0.017294164388043654,0.4023775912918813,0.25543667174365275,0.41903139498500636
20,RL,70.0,9800,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,149900,910.4494,164.6439659359433,0.7956049338860387,0.10526315789473684,0.03972983710766786,0.3617398720551369,0.14793977963333632,0.33370400156142715
60,RL,122.0,11911,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,174000,1106.567633,157.24298706286126,0.7956049338860387,0.3157894736842105,0.04959685900581925,0.42785787336142445,0.1406247184172719,0.37215173411128966
50,RM,40.0,5436,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,125500,505.020708,248.50466131776918,0.31073892402479775,0.2631578947368421,0.019332071326742854,0.2090425594289946,0.2308269396779273,0.2612667259937714
20,RL,78.0,12090,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,175500,1123.19727,156.25037977522862,0.7956049338860387,0.10526315789473684,0.0504335226343219,0.3649509777131331,0.13964363426650458,0.3295559288780113
20,RL,76.0,9158,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,225000,850.805674,264.45521800786673,0.7956049338860387,0.10526315789473684,0.03672906588141812,0.360839640687262,0.2465923270164511,0.3830302752529845
85,RL,70.0,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,129000,780.3851999999999,165.30298114315855,0.7956049338860387,0.4473684210526316,0.0331860992311108,0.4624083296395382,0.14859114436032267,0.40245073655649927
80,RL,85.0,13400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,159950,1244.9002,128.48419495795727,0.7956049338860387,0.42105263157894735,0.056556591647386,0.4615247405223155,0.11219978593805834,0.3789918994506302
20,RL,82.0,11880,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,157000,1103.68764,142.25039251141743,0.7956049338860387,0.10526315789473684,0.049451961952838346,0.36465650950868805,0.12580617227463517,0.32263719788207657
60,RL,85.0,13600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,205000,1263.4808,162.25019010973494,0.7956049338860387,0.3157894736842105,0.05749141134403702,0.43022623906288976,0.14557379305148876,0.3746262714283981
20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,140000,891.8688,156.97376116307692,0.7956049338860387,0.10526315789473684,0.03879501741101685,0.3614594261461416,0.14035861794980056,0.32991342071965923
60,RL,,8068,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,200000,749.5414039999999,266.8298227858804,0.7956049338860387,0.3157894736842105,0.031634298534670126,0.4224691052200797,0.24893936510600798,0.4263090574556577
20,RL,,21000,Pave,,Reg,Bnk,AllPub,Corner,Gtl,Crawfor,Norm,Norm,217000,1950.963,111.22712219555163,0.7956049338860387,0.10526315789473684,0.09207974012012432,0.37744484295887387,0.09514304981816372,0.3073056366538408
20,RM,49.0,8235,Pave,,IR1,HLS,AllPub,Inside,Gtl,OldTown,Feedr,RRNn,125000,765.056205,163.38668869432934,0.31073892402479775,0.10526315789473684,0.032414872981373716,0.16559897887275227,0.1466970980711147,0.18762285782194404
60,RL,75.0,7950,Pave,,IR1,Bnk,AllPub,Corner,Gtl,Edwards,Norm,Norm,159500,738.57885,215.95527681303088,0.7956049338860387,0.3157894736842105,0.03108275491364603,0.42230364213377247,0.19865541962895497,0.40116708471713114
