EVI,ZoningScore,MSZoning_RL,LotConfig_CulDSac,LandContour_HLS,LotShape_IR2,Condition1_Norm,Condition1_Feedr,LotShape_Reg,MSZoning_RM,Price_per_m^2,PDI,SalePrice,LotFrontage,LotArea,WoodDeckSF,OpenPorchSF,FullBath,GarageCars,GarageArea,KitchenQual,PavedDrive,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,GrLivArea,TotalBsmtSF,1stFlrSF,BsmtQual,CentralAir,Foundation
0.4375304318037032,0.8350439463269663,True,False,False,False,True,False,True,False,265.5948270025484,0.4387803618826318,208500,65.0,8450,0,61,2,2,548,Gd,Y,7,2003,2003,196.0,1710,856,856,Gd,Y,PConc
0.364740787165944,0.8350439463269663,True,False,False,False,False,True,True,False,203.5052689364176,0.3772350311225126,181500,80.0,9600,298,0,2,2,460,TA,Y,6,1976,1976,0.0,1262,1262,1262,Gd,Y,CBlock
0.4119549662328301,0.8350439463269663,True,False,False,False,True,False,False,False,213.84311235015733,0.442706604608566,223500,68.0,11250,0,42,2,2,608,Gd,Y,7,2001,2002,162.0,1786,920,920,Gd,Y,PConc
0.3947828590518589,0.8350439463269663,True,False,False,False,True,False,False,False,157.79561331576318,0.4561122880663165,140000,60.0,9550,0,35,1,3,642,Gd,Y,7,1915,1970,0.0,1717,756,961,TA,Y,BrkTil
0.3995333992716938,0.8350439463269663,True,False,False,False,True,False,False,False,188.7081881343341,0.4469273155389453,250000,84.0,14260,192,84,2,3,836,Gd,Y,8,2000,2000,350.0,2198,1145,1145,Gd,Y,PConc
0.3496403322877583,0.8350439463269663,True,False,False,False,True,False,False,False,109.049936402344,0.4309345185707132,143000,85.0,14115,40,30,1,2,480,TA,Y,5,1993,1995,0.0,1362,796,796,Gd,Y,Wood
0.426117027831248,0.8350439463269663,True,False,False,False,True,False,True,False,327.6995161357598,0.3779137102222812,307000,75.0,10084,255,57,2,2,636,Gd,Y,8,2004,2005,186.0,1694,1686,1694,Ex,Y,PConc
0.4087496840504705,0.8350439463269663,True,False,False,False,False,False,False,False,207.35725392376065,0.4414894693635264,200000,,10382,235,204,2,2,484,TA,Y,7,1973,1973,240.0,2090,1107,1107,Gd,Y,CBlock
0.2695286577044576,0.3712831948941708,False,False,False,False,False,False,True,True,228.4693733902934,0.2342193927855077,129900,51.0,6120,90,0,2,2,468,TA,Y,7,1931,1950,0.0,1774,952,1022,TA,Y,BrkTil
0.5277122450735443,0.8350439463269663,True,False,False,False,False,False,True,False,171.17816388672847,0.6425992233460428,118000,50.0,7420,0,4,1,1,205,TA,Y,5,1939,1950,0.0,1077,991,1077,TA,Y,BrkTil
0.3256758661698608,0.8350439463269663,True,False,False,False,True,False,True,False,124.45776777929667,0.379478598394475,129500,70.0,11200,0,0,1,1,384,TA,Y,5,1965,1965,0.0,1040,1040,1040,TA,Y,CBlock
0.4601844297169436,0.8350439463269663,True,False,False,False,True,False,False,False,311.4349792567874,0.4436517073218802,345000,85.0,11924,147,21,3,3,736,Ex,Y,9,2005,2006,286.0,2324,1175,1182,Ex,Y,PConc
0.3232382503769383,0.8350439463269663,True,False,False,True,True,False,False,False,119.52527509024274,0.3819577402299935,144000,,12968,140,0,1,1,352,TA,Y,5,1962,1962,0.0,912,912,912,TA,Y,CBlock
0.4037482785676387,0.8350439463269663,True,False,False,False,True,False,False,False,282.4365618480553,0.3787101766038279,279500,91.0,10652,160,33,2,3,840,Gd,Y,7,2006,2007,306.0,1494,1494,1494,Gd,Y,PConc
0.3406490780363355,0.8350439463269663,True,False,False,False,True,False,False,False,154.7559215234102,0.3790859741218816,157000,,10920,0,213,1,1,352,TA,Y,6,1960,1960,212.0,1253,1253,1253,TA,Y,CBlock
0.2660908110953116,0.3712831948941708,False,False,False,False,True,False,True,True,232.1628736529541,0.2263246559434024,132000,51.0,6120,48,112,1,2,576,TA,Y,7,1929,2001,0.0,854,832,854,TA,Y,BrkTil
0.3346793416121703,0.8350439463269663,True,True,False,False,True,False,False,False,142.67621587280314,0.3795360898058191,149000,,11241,0,0,1,2,480,TA,Y,6,1970,1970,180.0,1004,1004,1004,TA,Y,CBlock
0.3822195653383224,0.8350439463269663,True,False,False,False,True,False,True,False,89.77410384639214,0.4894314023000534,90000,72.0,10791,0,0,2,2,516,TA,Y,4,1967,1967,0.0,1296,0,1296,,Y,Slab
0.3259289492496517,0.8350439463269663,True,False,False,False,False,False,True,False,124.9698790170138,0.3829771611091915,159000,66.0,13695,0,102,1,2,576,Gd,Y,5,2004,2004,0.0,1114,1114,1114,TA,Y,PConc
0.3619746231102718,0.8350439463269663,True,False,False,False,True,False,True,False,197.90796191988835,0.3743744828507606,139000,70.0,7560,0,0,1,1,294,TA,Y,5,1958,1965,0.0,1339,1029,1339,TA,Y,CBlock
0.4280070807503249,0.8350439463269663,True,False,False,False,True,False,False,False,246.3244154871361,0.4468642152094214,325300,101.0,14215,240,154,3,3,853,Gd,Y,8,2005,2006,380.0,2376,1158,1158,Ex,Y,PConc
0.2509052629740044,0.3712831948941708,False,False,False,False,True,False,True,True,201.4350594891702,0.2281882190086762,139400,57.0,7449,0,0,1,1,280,Gd,N,7,1930,1950,0.0,1108,637,1108,TA,Y,PConc
0.3897575778215164,0.8350439463269663,True,False,False,False,True,False,True,False,254.126510138776,0.3774341477178993,230000,75.0,9742,171,159,2,2,534,Gd,Y,8,2002,2002,281.0,1795,1777,1795,Gd,Y,PConc
0.3938934064987986,0.3712831948941708,False,False,False,False,True,False,True,True,331.020967127982,0.3420870813577059,129900,44.0,4224,100,110,1,2,572,TA,Y,5,1976,1976,0.0,1060,1040,1060,Gd,Y,PConc
0.363514496072291,0.8350439463269663,True,False,False,False,True,False,False,False,201.02388041257484,0.3753364123186145,154000,,8246,406,90,1,1,270,Gd,Y,5,1968,2001,0.0,1060,1060,1060,TA,Y,CBlock
0.3599798211062399,0.8350439463269663,True,False,False,False,True,False,True,False,193.87149877849987,0.3837273539157539,256300,110.0,14230,0,56,2,3,890,Gd,Y,8,2007,2007,640.0,1600,1566,1600,Gd,Y,PConc
